Athlete,Week,Day of the Week,Category,Exercise,Reps,Sets,Set,Set_Reps,Set_Weight,Variant,Notes,Unnamed: 0,Athlete comments
Daniele Conca,2024_44,1,Snatch,Strappo,1.0,partenze,1,,,,,,
Daniele Conca,2024_44,1,Clean and Jerk,Slancio,1.0,partenze,1,,,,,,
Daniele Conca,2024_44,1,Squat,Gambe dietro,2.0,3,1,,,,,,
Daniele Conca,2024_44,2,Snatch,Strappo sosp,1.0,3,1,,,,,,
Daniele Conca,2024_44,2,Clean and Jerk,Girata in piedi + spinta,1.0,3,1,,,,,,
Daniele Conca,2024_44,2,Squat,Gambe dietro,2.0,3,1,,,,,,
Daniele Conca,2024_44,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,1,,,,,,
Daniele Conca,2024_44,1,Snatch,Strappo,1.0,partenze,2,,,,,,
Daniele Conca,2024_44,1,Clean and Jerk,Slancio,1.0,partenze,2,,,,,,
Daniele Conca,2024_44,1,Squat,Gambe dietro,2.0,3,2,,,,,,
Daniele Conca,2024_44,2,Snatch,Strappo sosp,1.0,3,2,,,,,,
Daniele Conca,2024_44,2,Clean and Jerk,Girata in piedi + spinta,1.0,3,2,,,,,,
Daniele Conca,2024_44,2,Squat,Gambe dietro,2.0,3,2,,,,,,
Daniele Conca,2024_44,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,2,,,,,,
Daniele Conca,2024_44,1,Snatch,Strappo,1.0,partenze,3,,,,,,
Daniele Conca,2024_44,1,Clean and Jerk,Slancio,1.0,partenze,3,,,,,,
Daniele Conca,2024_44,1,Squat,Gambe dietro,2.0,3,3,,,,,,
Daniele Conca,2024_44,2,Snatch,Strappo sosp,1.0,3,3,,,,,,
Daniele Conca,2024_44,2,Clean and Jerk,Girata in piedi + spinta,1.0,3,3,,,,,,
Daniele Conca,2024_44,2,Squat,Gambe dietro,2.0,3,3,,,,,,
Daniele Conca,2024_44,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,3,,,,,,
Daniele Conca,2024_44,1,Snatch,Strappo,1.0,partenze,4,,,,,,
Daniele Conca,2024_44,1,Clean and Jerk,Slancio,1.0,partenze,4,,,,,,
Daniele Conca,2024_44,1,Squat,Gambe dietro,2.0,3,4,,,,,,
Daniele Conca,2024_44,2,Snatch,Strappo sosp,1.0,3,4,,,,,,
Daniele Conca,2024_44,2,Clean and Jerk,Girata in piedi + spinta,1.0,3,4,,,,,,
Daniele Conca,2024_44,2,Squat,Gambe dietro,2.0,3,4,,,,,,
Daniele Conca,2024_44,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,4,,,,,,
Daniele Conca,2024_44,1,Snatch,Strappo,1.0,partenze,5,,,,,,
Daniele Conca,2024_44,1,Clean and Jerk,Slancio,1.0,partenze,5,,,,,,
Daniele Conca,2024_44,1,Squat,Gambe dietro,2.0,3,5,,,,,,
Daniele Conca,2024_44,2,Snatch,Strappo sosp,1.0,3,5,,,,,,
Daniele Conca,2024_44,2,Clean and Jerk,Girata in piedi + spinta,1.0,3,5,,,,,,
Daniele Conca,2024_44,2,Squat,Gambe dietro,2.0,3,5,,,,,,
Daniele Conca,2024_44,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,5,,,,,,
Daniele Conca,2024_44,1,Snatch,Strappo,1.0,partenze,6,,,,,,
Daniele Conca,2024_44,1,Clean and Jerk,Slancio,1.0,partenze,6,,,,,,
Daniele Conca,2024_44,1,Squat,Gambe dietro,2.0,3,6,,,,,,
Daniele Conca,2024_44,2,Snatch,Strappo sosp,1.0,3,6,,,,,,
Daniele Conca,2024_44,2,Clean and Jerk,Girata in piedi + spinta,1.0,3,6,,,,,,
Daniele Conca,2024_44,2,Squat,Gambe dietro,2.0,3,6,,,,,,
Daniele Conca,2024_44,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,6,,,,,,
Daniele Conca,2024_44,1,Snatch,Strappo,1.0,partenze,7,,,,,,
Daniele Conca,2024_44,1,Clean and Jerk,Slancio,1.0,partenze,7,,,,,,
Daniele Conca,2024_44,1,Squat,Gambe dietro,2.0,3,7,,,,,,
Daniele Conca,2024_44,2,Snatch,Strappo sosp,1.0,3,7,,,,,,
Daniele Conca,2024_44,2,Clean and Jerk,Girata in piedi + spinta,1.0,3,7,,,,,,
Daniele Conca,2024_44,2,Squat,Gambe dietro,2.0,3,7,,,,,,
Daniele Conca,2024_44,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,7,,,,,,
Daniele Conca,2024_44,1,Snatch,Strappo,1.0,partenze,8,,,,,,
Daniele Conca,2024_44,1,Clean and Jerk,Slancio,1.0,partenze,8,,,,,,
Daniele Conca,2024_44,1,Squat,Gambe dietro,2.0,3,8,,,,,,
Daniele Conca,2024_44,2,Snatch,Strappo sosp,1.0,3,8,,,,,,
Daniele Conca,2024_44,2,Clean and Jerk,Girata in piedi + spinta,1.0,3,8,,,,,,
Daniele Conca,2024_44,2,Squat,Gambe dietro,2.0,3,8,,,,,,
Daniele Conca,2024_44,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,8,,,,,,
Daniele Conca,2024_45,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,1,,,,,,
Daniele Conca,2024_45,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,2,,,,,,
Daniele Conca,2024_45,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,3,,,,,,
Daniele Conca,2024_45,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,4,,,,,,
Daniele Conca,2024_45,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,5,,,,,,
Daniele Conca,2024_45,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,6,,,,,,
Daniele Conca,2024_45,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,7,,,,,,
Daniele Conca,2024_45,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,8,,,,,,
Daniele Conca,2024_46,1,Jerk,Spinte in piedi,3.0,4.0,1,3.0,85.0,,,,
Daniele Conca,2024_46,1,Accessory,Caricamenti,4.0,4.0,1,4.0,100.0,con stop sotto nel caricamento,,,
Daniele Conca,2024_46,1,Squat,Gambe avanti,5.0,3.0,1,5.0,110.0,,Fatto nel day 2,,
Daniele Conca,2024_46,2,Snatch,Strappo sosp bassa,3.0,4.0,1,3.0,75.0,,Ho sbagliato l'alimentazione e avevi tutto sullo stomaco ,,
Daniele Conca,2024_46,2,Snatch pull,Tirate strappo,5.0,3.0,1,5.0,80.0,con stop sotto ginocchio,focus su staccare controllato,,
Daniele Conca,2024_46,2,Squat,Gambe dietro,6.0,3.0,1,6.0,120.0,,Fatte nel day 1,,
Daniele Conca,2024_46,3,Jerk,Spinte in spaccata,2.0,4.0,1,2.0,105.0,,,,
Daniele Conca,2024_46,3,Accessory,Caricamenti,4.0,4.0,1,4.0,130.0,,,,
Daniele Conca,2024_46,3,Accessory,Push press,6.0,3.0,1,6.0,70.0,,,,
Daniele Conca,2024_46,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,1,,,,,,
Daniele Conca,2024_46,1,Jerk,Spinte in piedi,3.0,4.0,2,3.0,90.0,,,,
Daniele Conca,2024_46,1,Accessory,Caricamenti,4.0,4.0,2,4.0,100.0,con stop sotto nel caricamento,,,
Daniele Conca,2024_46,1,Squat,Gambe avanti,5.0,3.0,2,5.0,110.0,,Fatto nel day 2,,
Daniele Conca,2024_46,2,Snatch,Strappo sosp bassa,3.0,4.0,2,3.0,80.0,,Ho sbagliato l'alimentazione e avevi tutto sullo stomaco ,,
Daniele Conca,2024_46,2,Snatch pull,Tirate strappo,5.0,3.0,2,5.0,80.0,con stop sotto ginocchio,focus su staccare controllato,,
Daniele Conca,2024_46,2,Squat,Gambe dietro,6.0,3.0,2,6.0,125.0,,Fatte nel day 1,,
Daniele Conca,2024_46,3,Jerk,Spinte in spaccata,2.0,4.0,2,2.0,105.0,,,,
Daniele Conca,2024_46,3,Accessory,Caricamenti,4.0,4.0,2,4.0,130.0,,,,
Daniele Conca,2024_46,3,Accessory,Push press,6.0,3.0,2,4.0,70.0,,,,
Daniele Conca,2024_46,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,2,,,,,,
Daniele Conca,2024_46,1,Jerk,Spinte in piedi,3.0,4.0,3,3.0,90.0,,,,
Daniele Conca,2024_46,1,Accessory,Caricamenti,4.0,4.0,3,4.0,100.0,con stop sotto nel caricamento,,,
Daniele Conca,2024_46,1,Squat,Gambe avanti,5.0,3.0,3,5.0,110.0,,Fatto nel day 2,,
Daniele Conca,2024_46,2,Snatch,Strappo sosp bassa,3.0,4.0,3,2.0,80.0,,Ho sbagliato l'alimentazione e avevi tutto sullo stomaco ,,
Daniele Conca,2024_46,2,Snatch pull,Tirate strappo,5.0,3.0,3,5.0,80.0,con stop sotto ginocchio,focus su staccare controllato,,
Daniele Conca,2024_46,2,Squat,Gambe dietro,6.0,3.0,3,6.0,130.0,,Fatte nel day 1,,
Daniele Conca,2024_46,3,Jerk,Spinte in spaccata,2.0,4.0,3,2.0,105.0,,,,
Daniele Conca,2024_46,3,Accessory,Caricamenti,4.0,4.0,3,4.0,130.0,,,,
Daniele Conca,2024_46,3,Accessory,Push press,6.0,3.0,3,4.0,70.0,,,,
Daniele Conca,2024_46,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,3,,,,,,
Daniele Conca,2024_46,1,Jerk,Spinte in piedi,3.0,4.0,4,3.0,90.0,,,,
Daniele Conca,2024_46,1,Accessory,Caricamenti,4.0,4.0,4,4.0,100.0,con stop sotto nel caricamento,,,
Daniele Conca,2024_46,1,Squat,Gambe avanti,5.0,3.0,4,,,,Fatto nel day 2,,
Daniele Conca,2024_46,2,Snatch,Strappo sosp bassa,3.0,4.0,4,2.0,80.0,,Ho sbagliato l'alimentazione e avevi tutto sullo stomaco ,,
Daniele Conca,2024_46,2,Snatch pull,Tirate strappo,5.0,3.0,4,,,con stop sotto ginocchio,focus su staccare controllato,,
Daniele Conca,2024_46,2,Squat,Gambe dietro,6.0,3.0,4,,,,Fatte nel day 1,,
Daniele Conca,2024_46,3,Jerk,Spinte in spaccata,2.0,4.0,4,2.0,105.0,,,,
Daniele Conca,2024_46,3,Accessory,Caricamenti,4.0,4.0,4,4.0,130.0,,,,
Daniele Conca,2024_46,3,Accessory,Push press,6.0,3.0,4,,,,,,
Daniele Conca,2024_46,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,4,,,,,,
Daniele Conca,2024_46,1,Jerk,Spinte in piedi,3.0,4.0,5,,,,,,
Daniele Conca,2024_46,1,Accessory,Caricamenti,4.0,4.0,5,,,con stop sotto nel caricamento,,,
Daniele Conca,2024_46,1,Squat,Gambe avanti,5.0,3.0,5,,,,Fatto nel day 2,,
Daniele Conca,2024_46,2,Snatch,Strappo sosp bassa,3.0,4.0,5,,,,Ho sbagliato l'alimentazione e avevi tutto sullo stomaco ,,
Daniele Conca,2024_46,2,Snatch pull,Tirate strappo,5.0,3.0,5,,,con stop sotto ginocchio,focus su staccare controllato,,
Daniele Conca,2024_46,2,Squat,Gambe dietro,6.0,3.0,5,,,,Fatte nel day 1,,
Daniele Conca,2024_46,3,Jerk,Spinte in spaccata,2.0,4.0,5,,,,,,
Daniele Conca,2024_46,3,Accessory,Caricamenti,4.0,4.0,5,,,,,,
Daniele Conca,2024_46,3,Accessory,Push press,6.0,3.0,5,,,,,,
Daniele Conca,2024_46,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,5,,,,,,
Daniele Conca,2024_46,1,Jerk,Spinte in piedi,3.0,4.0,6,,,,,,
Daniele Conca,2024_46,1,Accessory,Caricamenti,4.0,4.0,6,,,con stop sotto nel caricamento,,,
Daniele Conca,2024_46,1,Squat,Gambe avanti,5.0,3.0,6,,,,Fatto nel day 2,,
Daniele Conca,2024_46,2,Snatch,Strappo sosp bassa,3.0,4.0,6,,,,Ho sbagliato l'alimentazione e avevi tutto sullo stomaco ,,
Daniele Conca,2024_46,2,Snatch pull,Tirate strappo,5.0,3.0,6,,,con stop sotto ginocchio,focus su staccare controllato,,
Daniele Conca,2024_46,2,Squat,Gambe dietro,6.0,3.0,6,,,,Fatte nel day 1,,
Daniele Conca,2024_46,3,Jerk,Spinte in spaccata,2.0,4.0,6,,,,,,
Daniele Conca,2024_46,3,Accessory,Caricamenti,4.0,4.0,6,,,,,,
Daniele Conca,2024_46,3,Accessory,Push press,6.0,3.0,6,,,,,,
Daniele Conca,2024_46,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,6,,,,,,
Daniele Conca,2024_46,1,Jerk,Spinte in piedi,3.0,4.0,7,,,,,,
Daniele Conca,2024_46,1,Accessory,Caricamenti,4.0,4.0,7,,,con stop sotto nel caricamento,,,
Daniele Conca,2024_46,1,Squat,Gambe avanti,5.0,3.0,7,,,,Fatto nel day 2,,
Daniele Conca,2024_46,2,Snatch,Strappo sosp bassa,3.0,4.0,7,,,,Ho sbagliato l'alimentazione e avevi tutto sullo stomaco ,,
Daniele Conca,2024_46,2,Snatch pull,Tirate strappo,5.0,3.0,7,,,con stop sotto ginocchio,focus su staccare controllato,,
Daniele Conca,2024_46,2,Squat,Gambe dietro,6.0,3.0,7,,,,Fatte nel day 1,,
Daniele Conca,2024_46,3,Jerk,Spinte in spaccata,2.0,4.0,7,,,,,,
Daniele Conca,2024_46,3,Accessory,Caricamenti,4.0,4.0,7,,,,,,
Daniele Conca,2024_46,3,Accessory,Push press,6.0,3.0,7,,,,,,
Daniele Conca,2024_46,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,7,,,,,,
Daniele Conca,2024_46,1,Jerk,Spinte in piedi,3.0,4.0,8,,,,,,
Daniele Conca,2024_46,1,Accessory,Caricamenti,4.0,4.0,8,,,con stop sotto nel caricamento,,,
Daniele Conca,2024_46,1,Squat,Gambe avanti,5.0,3.0,8,,,,Fatto nel day 2,,
Daniele Conca,2024_46,2,Snatch,Strappo sosp bassa,3.0,4.0,8,,,,Ho sbagliato l'alimentazione e avevi tutto sullo stomaco ,,
Daniele Conca,2024_46,2,Snatch pull,Tirate strappo,5.0,3.0,8,,,con stop sotto ginocchio,focus su staccare controllato,,
Daniele Conca,2024_46,2,Squat,Gambe dietro,6.0,3.0,8,,,,Fatte nel day 1,,
Daniele Conca,2024_46,3,Jerk,Spinte in spaccata,2.0,4.0,8,,,,,,
Daniele Conca,2024_46,3,Accessory,Caricamenti,4.0,4.0,8,,,,,,
Daniele Conca,2024_46,3,Accessory,Push press,6.0,3.0,8,,,,,,
Daniele Conca,2024_46,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,8,,,,,,
Daniele Conca,2024_47,1,Jerk,Spinte in piedi,2.0,5.0,1,,,,,,
Daniele Conca,2024_47,1,Accessory,Caricamenti,4.0,4.0,1,,,con stop sotto nel caricamento,110kg,,
Daniele Conca,2024_47,1,Squat,Gambe avanti,5.0,3.0,1,,,,,,
Daniele Conca,2024_47,2,Snatch,Strappo no piedi,2.0,5.0,1,,,stop sopra ginocchio,,,
Daniele Conca,2024_47,2,Snatch pull,Tirate strappo,4.0,3.0,1,,,con stop sotto ginocchio,aggiungi 5-10kg da settimana scorsa,,
Daniele Conca,2024_47,2,Squat,Gambe dietro,5.0,3.0,1,6.0,120.0,,Fatte nel day 1,,
Daniele Conca,2024_47,3,Jerk,Spinte in spaccata,1.0,5.0,1,,,,,,
Daniele Conca,2024_47,3,Accessory,Caricamenti,4.0,4.0,1,,,,135-140kg,,
Daniele Conca,2024_47,3,Accessory,Push press,5.0,3.0,1,,,,,,
Daniele Conca,2024_47,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,1,,,,,,
Daniele Conca,2024_47,1,Jerk,Spinte in piedi,2.0,5.0,2,,,,,,
Daniele Conca,2024_47,1,Accessory,Caricamenti,4.0,4.0,2,,,con stop sotto nel caricamento,110kg,,
Daniele Conca,2024_47,1,Squat,Gambe avanti,5.0,3.0,2,,,,,,
Daniele Conca,2024_47,2,Snatch,Strappo no piedi,2.0,5.0,2,,,stop sopra ginocchio,,,
Daniele Conca,2024_47,2,Snatch pull,Tirate strappo,4.0,3.0,2,,,con stop sotto ginocchio,aggiungi 5-10kg da settimana scorsa,,
Daniele Conca,2024_47,2,Squat,Gambe dietro,5.0,3.0,2,6.0,125.0,,Fatte nel day 1,,
Daniele Conca,2024_47,3,Jerk,Spinte in spaccata,1.0,5.0,2,,,,,,
Daniele Conca,2024_47,3,Accessory,Caricamenti,4.0,4.0,2,,,,135-140kg,,
Daniele Conca,2024_47,3,Accessory,Push press,5.0,3.0,2,,,,,,
Daniele Conca,2024_47,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,2,,,,,,
Daniele Conca,2024_47,1,Jerk,Spinte in piedi,2.0,5.0,3,,,,,,
Daniele Conca,2024_47,1,Accessory,Caricamenti,4.0,4.0,3,,,con stop sotto nel caricamento,110kg,,
Daniele Conca,2024_47,1,Squat,Gambe avanti,5.0,3.0,3,,,,,,
Daniele Conca,2024_47,2,Snatch,Strappo no piedi,2.0,5.0,3,,,stop sopra ginocchio,,,
Daniele Conca,2024_47,2,Snatch pull,Tirate strappo,4.0,3.0,3,,,con stop sotto ginocchio,aggiungi 5-10kg da settimana scorsa,,
Daniele Conca,2024_47,2,Squat,Gambe dietro,5.0,3.0,3,6.0,130.0,,Fatte nel day 1,,
Daniele Conca,2024_47,3,Jerk,Spinte in spaccata,1.0,5.0,3,,,,,,
Daniele Conca,2024_47,3,Accessory,Caricamenti,4.0,4.0,3,,,,135-140kg,,
Daniele Conca,2024_47,3,Accessory,Push press,5.0,3.0,3,,,,,,
Daniele Conca,2024_47,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,3,,,,,,
Daniele Conca,2024_47,1,Jerk,Spinte in piedi,2.0,5.0,4,,,,,,
Daniele Conca,2024_47,1,Accessory,Caricamenti,4.0,4.0,4,,,con stop sotto nel caricamento,110kg,,
Daniele Conca,2024_47,1,Squat,Gambe avanti,5.0,3.0,4,,,,,,
Daniele Conca,2024_47,2,Snatch,Strappo no piedi,2.0,5.0,4,,,stop sopra ginocchio,,,
Daniele Conca,2024_47,2,Snatch pull,Tirate strappo,4.0,3.0,4,,,con stop sotto ginocchio,aggiungi 5-10kg da settimana scorsa,,
Daniele Conca,2024_47,2,Squat,Gambe dietro,5.0,3.0,4,,,,Fatte nel day 1,,
Daniele Conca,2024_47,3,Jerk,Spinte in spaccata,1.0,5.0,4,,,,,,
Daniele Conca,2024_47,3,Accessory,Caricamenti,4.0,4.0,4,,,,135-140kg,,
Daniele Conca,2024_47,3,Accessory,Push press,5.0,3.0,4,,,,,,
Daniele Conca,2024_47,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,4,,,,,,
Daniele Conca,2024_47,1,Jerk,Spinte in piedi,2.0,5.0,5,,,,,,
Daniele Conca,2024_47,1,Accessory,Caricamenti,4.0,4.0,5,,,con stop sotto nel caricamento,110kg,,
Daniele Conca,2024_47,1,Squat,Gambe avanti,5.0,3.0,5,,,,,,
Daniele Conca,2024_47,2,Snatch,Strappo no piedi,2.0,5.0,5,,,stop sopra ginocchio,,,
Daniele Conca,2024_47,2,Snatch pull,Tirate strappo,4.0,3.0,5,,,con stop sotto ginocchio,aggiungi 5-10kg da settimana scorsa,,
Daniele Conca,2024_47,2,Squat,Gambe dietro,5.0,3.0,5,,,,Fatte nel day 1,,
Daniele Conca,2024_47,3,Jerk,Spinte in spaccata,1.0,5.0,5,,,,,,
Daniele Conca,2024_47,3,Accessory,Caricamenti,4.0,4.0,5,,,,135-140kg,,
Daniele Conca,2024_47,3,Accessory,Push press,5.0,3.0,5,,,,,,
Daniele Conca,2024_47,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,5,,,,,,
Daniele Conca,2024_47,1,Jerk,Spinte in piedi,2.0,5.0,6,,,,,,
Daniele Conca,2024_47,1,Accessory,Caricamenti,4.0,4.0,6,,,con stop sotto nel caricamento,110kg,,
Daniele Conca,2024_47,1,Squat,Gambe avanti,5.0,3.0,6,,,,,,
Daniele Conca,2024_47,2,Snatch,Strappo no piedi,2.0,5.0,6,,,stop sopra ginocchio,,,
Daniele Conca,2024_47,2,Snatch pull,Tirate strappo,4.0,3.0,6,,,con stop sotto ginocchio,aggiungi 5-10kg da settimana scorsa,,
Daniele Conca,2024_47,2,Squat,Gambe dietro,5.0,3.0,6,,,,Fatte nel day 1,,
Daniele Conca,2024_47,3,Jerk,Spinte in spaccata,1.0,5.0,6,,,,,,
Daniele Conca,2024_47,3,Accessory,Caricamenti,4.0,4.0,6,,,,135-140kg,,
Daniele Conca,2024_47,3,Accessory,Push press,5.0,3.0,6,,,,,,
Daniele Conca,2024_47,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,6,,,,,,
Daniele Conca,2024_47,1,Jerk,Spinte in piedi,2.0,5.0,7,,,,,,
Daniele Conca,2024_47,1,Accessory,Caricamenti,4.0,4.0,7,,,con stop sotto nel caricamento,110kg,,
Daniele Conca,2024_47,1,Squat,Gambe avanti,5.0,3.0,7,,,,,,
Daniele Conca,2024_47,2,Snatch,Strappo no piedi,2.0,5.0,7,,,stop sopra ginocchio,,,
Daniele Conca,2024_47,2,Snatch pull,Tirate strappo,4.0,3.0,7,,,con stop sotto ginocchio,aggiungi 5-10kg da settimana scorsa,,
Daniele Conca,2024_47,2,Squat,Gambe dietro,5.0,3.0,7,,,,Fatte nel day 1,,
Daniele Conca,2024_47,3,Jerk,Spinte in spaccata,1.0,5.0,7,,,,,,
Daniele Conca,2024_47,3,Accessory,Caricamenti,4.0,4.0,7,,,,135-140kg,,
Daniele Conca,2024_47,3,Accessory,Push press,5.0,3.0,7,,,,,,
Daniele Conca,2024_47,Notation:,,"Considera il numero di serie degli esercizio fondamentali con un margine di errore di uno. Se ad esempio sono sono scritte 5 serie, questo significa che potrai fare da da 4 a 6 serie per il determinato esercizio. Segui invece il numero di serie esatte per gli esercizi fondamentali.",,,7,,,,,,
Daniele Conca,2024_47,1,Jerk,Spinte in piedi,2.0,5.0,8,,,,,,
Daniele Conca,2024_47,1,Accessory,Caricamenti,4.0,4.0,8,,,con stop sotto nel caricamento,110kg,,
Daniele Conca,2024_47,1,Squat,Gambe avanti,5.0,3.0,8,,,,,,
Daniele Conca,2024_47,2,Snatch,Strappo no piedi,2.0,5.0,8,,,stop sopra ginocchio,,,
